route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A,27638622,"Le Pont-de-Claix, L'Etoile",12345-MEHLV22_ST8_22_HI2223-MEHW17_ST11_17_HI2223,0,SEM_A_3,1,2
23,27137564,"Vizille, Le Péage",12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,0,SEM_23_1,1,2
A,27063760,"Fontaine, La Poya",1234567-MEHS10_ST5_10_HI2223-MEHS12_ST5_12_HI2223,1,SEM_A_4,1,2
3,26979590,"Échirolles, Centre du graphisme",12345-MEILV06_ST21_6_HI2223-MEILV07_ST21_7_HI2223,1,SEM_C3_2,1,2
70,27113978,"Champ-sur-Drac, La Melle",12345-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,1,,1,2
E,27167076,"Fontanil-Cornillon, Palluel",12345-MGHLV17_ST0_17_HI2223,1,SEM_E_1,1,2
B,27604226,"Grenoble, Oxford",12345-MGHLV32_ST0_32_HI2223-MGHLV33_ST0_33_HI2223-MGHLV38_ST0_38_HI2223,1,SEM_B_2,1,2
14,27482742,"Gières, Gières Gare - Universités",12345-MAHLV07_ST0_7_HI2223,1,SEM_14_2,1,2
7,27442664,"Échirolles, Comboire",12345-MSILV04_ST21_4_HI2223,1,SEM_C7_2,1,2
67,27500232,"Herbeys, Herbeys Le Bourg",12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,1,SEM_67_1,1,2
B,27639300,"Grenoble, Oxford",12345-MGHLV37_ST0_37_HI2223,1,SEM_B_2,1,2
C,27150741,"Seyssins, Le Prisme",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,1,SEM_C_2,1,2
3,27535699,"Échirolles, Centre du graphisme",12345-MEILV08_ST21_8_HI2223,1,SEM_C3_2,1,2
44,27150131,"Le Gua, Les Saillants",12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,0,SEM_44_7,1,2
42,26716917,"Meylan, La Détourbe",12345-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,1,SEM_42_1,1,2
E,27069992,"Grenoble, Louise Michel",1234567-MGHD02_ST6_2_HI2223-MGHD03_ST6_3_HI2223,0,SEM_E_2,1,2
42,26716221,"La Tronche, Grand Sablon",12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,0,SEM_42_4,1,2
7,27535033,"Gières, Universités - IUT - UFRAPS",12345-MSILV07_ST21_7_HI2223,0,SEM_C7_1,1,2
65,27675104,"Grenoble, Grand'place",1234567-MFHS10_ST5_10_HI2223,1,,1,2
2,27583019,"Grenoble, Louise Michel",12345-MEILV08_ST21_8_HI2223,1,SEM_C2_1,1,2
E,27167744,"Grenoble, Louise Michel",12345-MGHLV32_ST0_32_HI2223-MGHLV33_ST0_33_HI2223-MGHLV35_ST0_35_HI2223,0,SEM_E_2,1,2
12,26966520,"Eybens, Maisons Neuves",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,0,SEM_12_9,1,2
23,27137641,"Vizille, Le Péage",12345-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,0,SEM_23_1,1,2
15,27595781,"Domène, Les Arnauds",1234567-MAHS07_ST5_7_HI2223,0,SEM_15_6,1,2
B,27639119,"Gières, Plaine des Sports",12345-MGHLV37_ST0_37_HI2223,0,SEM_B_1,1,2
3,26963459,"Grenoble, Victor Hugo",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_C3_1,1,2
